Sides,Resolution,Filename,Area,Unknowns,Q1,C_shape,Build Time (s),Solve Time (s),Residual,NNZ
23,256,256.png,19850.0,19850,15953162.115290657,24.698708453688972,0.24086848300066777,0.08714950799912913,5.60222766729642e-13,98612
23,1024,1024.png,315215.0,315215,3968826643.139558,25.035232112431206,3.39961166500143,4.630000948000088,9.00385256728234e-12,1573533
23,512,512.png,79060.0,79060,250816694.09996998,24.920524618304295,0.8459196449985029,0.6119013280003855,2.2464494578599753e-12,394028
23,2048,2048.png,1259666.0,1259666,63235036096.00285,25.09302642204549,13.50654361800116,40.13746877700032,3.631163551164905e-11,6293250
23,128,128.png,4999.0,4999,1029789.1856445728,24.267103741585792,0.07971298399934312,0.013768978998996317,1.3768183420593474e-13,24675
46,256,256.png,19836.0,19836,15935021.546907634,24.691958830539303,0.22163250200173934,0.08753492599862511,5.70550839235852e-13,98540
46,1024,1024.png,315108.0,315108,3968554387.214941,25.019954869178964,3.3820585459980066,4.913724306999939,9.074623415357305e-12,1573004
46,512,512.png,79030.0,79030,250760774.44986746,24.907168649890494,0.8680761549985618,0.5635942150001938,2.263154121639381e-12,393878
46,2048,2048.png,1259526.0,1259526,63260964495.944855,25.077166579995655,13.56737513600092,41.27544681799918,3.646752912721025e-11,6292562
46,128,128.png,5008.0,5008,1033852.8934948198,24.258832332731355,0.055118451000453206,0.014616798998758895,1.3837474113667872e-13,24720
32,256,256.png,19708.0,19708,15737290.152900945,24.68056826977947,0.22514822900120635,0.08748792299957131,5.658939226023863e-13,97908
32,1024,1024.png,314812.0,314812,3960762964.7138495,25.02209706234215,3.3885935809994407,4.844452557998011,9.119513760544942e-12,1571532
32,512,512.png,78596.0,78596,248029331.54913026,24.905647962754674,0.8425769860004948,0.6115770809992682,2.246913519419854e-12,391716
32,2048,2048.png,1258648.0,1258648,63164171872.65871,25.080591432399288,13.539538048997201,42.596971000999474,3.702361223418686e-11,6288184
32,128,128.png,4936.0,4936,1003759.0246330509,24.272853744858633,0.06994544299959671,0.014504900002066279,1.3994829285336363e-13,24360
26,256,256.png,19852.0,19852,15961344.872793902,24.69102116023734,0.21380543999839574,0.08821014400018612,5.67414469856083e-13,98624
26,1024,1024.png,315056.0,315056,3965766515.482093,25.02928065696615,3.4209616189982626,4.7861325690028025,9.160800391199166e-12,1572744
26,512,512.png,78904.0,78904,249878553.2619724,24.91546847349014,0.8597395020005933,0.5756673329997284,2.265025185067005e-12,393252
26,2048,2048.png,1260072.0,1260072,63290253658.0542,25.087297860465153,13.477056801999424,42.32467404699855,3.721231747320089e-11,6295288
26,128,128.png,5006.0,5006,1032651.7744721832,24.267654033528267,0.07594437499938067,0.013981694999529282,1.4462748878190637e-13,24710
48,256,256.png,19940.0,19940,16102656.406545741,24.6918017724314,0.21112128499953542,0.08151390300190542,5.652516484528819e-13,99060
48,1024,1024.png,315476.0,315476,3977944956.2470565,25.019226678766252,3.3872233929978393,4.655343839996931,9.075002229045427e-12,1574844
48,512,512.png,79224.0,79224,252006482.374624,24.90587589992888,0.8672910120003507,0.6120241969983908,2.2714032939860525e-12,394848
48,2048,2048.png,1259592.0,1259592,63269295549.78476,25.07649235979833,13.484118876000139,41.33759473899772,3.652686197198447e-11,6292896
48,128,128.png,4972.0,4972,1019131.1309220676,24.256725410432374,0.07589213800019934,0.013453723000566242,1.4352873042023974e-13,24540
47,256,256.png,19801.0,19801,15877368.278862089,24.69424366265943,0.21207353899808368,0.0828363350010477,5.555940014268918e-13,98365
47,1024,1024.png,315182.0,315182,3970504589.190725,25.019412745282228,3.4025384039996425,4.6240046249986335,9.1314923743934e-12,1573374
47,512,512.png,78949.0,78949,250245784.8670149,24.907291063113405,0.8563903290014423,0.5563862679991871,2.2516129550832947e-12,393473
47,2048,2048.png,1259611.0,1259611,63269766509.99846,25.077062218496856,13.463911548002216,45.733867414001,3.679702455210789e-11,6292985
47,128,128.png,4996.0,4996,1029016.1901111694,24.256193673010582,0.05488966900156811,0.014092705001530703,1.4080257866222747e-13,24660
21,256,256.png,19814.0,19814,15891688.616779378,24.70439771802951,0.20864499799790792,0.08849135199852753,5.724611658900712e-13,98432
21,1024,1024.png,315069.0,315069,3964282824.239647,25.040714591305626,3.3905893379996996,4.770418219999556,9.232033068028084e-12,1572803
21,512,512.png,78932.0,78932,249953506.65708917,24.925678008379712,0.848942688000534,0.6049313859984977,2.282763191660986e-12,393388
21,2048,2048.png,1259328.0,1259328,63187200052.56055,25.098548602641145,13.427452525000263,41.39075216099809,3.7338008592191794e-11,6291558
21,128,128.png,4985.0,4985,1023478.1097225895,24.280172447201217,0.05391259499810985,0.01409786099975463,1.4080864980292605e-13,24605
42,256,256.png,19810.0,19810,15892492.947955953,24.693174399078405,0.22260532600193983,0.08466215099906549,5.629504482898011e-13,98410
42,1024,1024.png,315216.0,315216,3971135954.892113,25.020832271832763,3.3909783950002748,4.8608984439997585,9.148191580829959e-12,1573540
42,512,512.png,78880.0,78880,249789781.08889472,24.90916310858092,0.8482824139973673,0.5802826789986284,2.274854916449334e-12,393128
42,2048,2048.png,1259960.0,1259960,63302436746.361206,25.078010945467337,13.475225221998699,41.84492277800018,3.7202741125549244e-11,6294728
42,128,128.png,4956.0,4956,1012223.7938695189,24.265321709248582,0.07625548199939658,0.01357814800212509,1.385148658138514e-13,24460
5,256,256.png,19858.0,19858,15030997.782855552,26.235128878123234,0.20838910800011945,0.07770242299739039,5.325877298515307e-13,98612
5,1024,1024.png,315106.0,315106,3728204978.7118416,26.6325998175956,3.4162360209993494,4.319031151000672,8.504113022532889e-12,1572828
5,512,512.png,78909.0,78909,234981417.75669357,26.49839438558171,0.8705517900016275,0.52709321400107,2.0887162330465867e-12,393193
5,2048,2048.png,1259316.0,1259316,59395498936.72972,26.700285648670693,14.035856280999724,37.2689753650011,3.434385016282749e-11,6291178
5,128,128.png,5028.0,5028,982742.9292920451,25.724717264780466,0.07772892899811268,0.013867810001102043,1.3590055221098905e-13,24798
17,256,256.png,19790.0,19790,15842976.683120493,24.72036081560781,0.21063345999937155,0.08479778100081603,5.601964675708569e-13,98310
17,1024,1024.png,315119.0,315119,3962368299.6107354,25.06076584823154,3.3979527299998153,4.652730423000321,8.966995738543549e-12,1573047
17,512,512.png,79084.0,79084,250712679.90461922,24.946002166222183,0.8453130170018994,0.5519813270002487,2.2165262782832874e-12,394142
17,2048,2048.png,1259815.0,1259815,63184430364.55657,25.119065330931683,13.464900923998357,41.039672855997196,3.6603162901654945e-11,6293981
17,128,128.png,4986.0,4986,1023747.5086705564,24.28352283101873,0.056597198999952525,0.015545157999440562,1.3880375525372716e-13,24608
49,256,256.png,19843.0,19843,15948032.277480677,24.689230755820876,0.2203765119993477,0.08575787800145918,5.537751452158212e-13,98575
49,1024,1024.png,315062.0,315062,3967482289.032872,25.01940944220244,3.4012503440026194,5.007150042998546,9.102230197104686e-12,1572774
49,512,512.png,78897.0,78897,249916353.6120468,24.907280052040367,0.8404514100002416,0.6237826939977822,2.2522934081202966e-12,393213
49,2048,2048.png,1259439.0,1259439,63253015057.910126,25.07685354237733,13.471524350999971,45.9358882939996,3.665862610819195e-11,6292125
49,128,128.png,4994.0,4994,1027838.9249152014,24.264537366161335,0.05926219600223703,0.013515852999262279,1.3646324182000718e-13,24650
19,256,256.png,19853.0,19853,15950249.375359468,24.710686317474412,0.21244837199992617,0.08918171299956157,5.686399315723835e-13,98627
19,1024,1024.png,315297.0,315297,3968721699.4076347,25.04892147611109,3.4006039930027328,4.678558433999569,9.066837303551853e-12,1573939
19,512,512.png,79144.0,79144,251203576.29674158,24.935046022596172,0.8399408139994193,0.6418519349972485,2.261179938790603e-12,394444
19,2048,2048.png,1259449.0,1259449,63178715401.35512,25.106743204958825,13.498706106001919,43.76428565899914,3.7017256267143405e-11,6292159
19,128,128.png,4986.0,4986,1024346.9417299241,24.269312463622853,0.07762506799917901,0.013885142998333322,1.412501230154274e-13,24610
16,256,256.png,19788.0,19788,15849922.499365512,24.704533666689837,0.21163304999936372,0.08576951099894359,5.561819988378275e-13,98308
16,1024,1024.png,315620.0,315620,3974579704.509042,25.063275064527865,3.3923669309988327,4.4252688480009965,8.948378232850167e-12,1575580
16,512,512.png,79408.0,79408,252808343.40297234,24.942335284990687,0.8394715220019862,0.6025943999993615,2.243195849445557e-12,395776
16,2048,2048.png,1260500.0,1260500,63239459027.592224,25.12450730020886,13.569867400998191,39.450716309998825,3.570311100137931e-11,6297468
16,128,128.png,5056.0,5056,1053772.4053384005,24.25868799609613,0.05930379399796948,0.014936628998839296,1.4503840218961432e-13,24960
14,256,256.png,19808.0,19808,15852425.688400334,24.750588440676214,0.22233381700061727,0.08190983299937216,5.603746020997662e-13,98400
14,1024,1024.png,314724.0,314724,3947323552.871445,25.093254923059472,3.376356140997814,4.834506421000697,9.143858349260193e-12,1571076
14,512,512.png,78644.0,78644,247630705.42723408,24.97621902473406,0.8331609569977445,0.631557614000485,2.2602098735014246e-12,391948
14,2048,2048.png,1259840.0,1259840,63103308811.00777,25.15235501126573,13.469972271999723,41.651062979002745,3.702435396851594e-11,6294112
14,128,128.png,5068.0,5068,1055926.6987233313,24.324249051618835,0.08109069599959184,0.014641364999988582,1.385065226447999e-13,25016
35,256,256.png,19873.0,19873,15996711.658610454,24.68858209289658,0.2126811709968024,0.08678804500232218,5.648560158083044e-13,98725
35,1024,1024.png,315157.0,315157,3969382100.4953547,25.02251789682958,3.4206282880004437,4.691921824000019,9.020889427115783e-12,1573247
35,512,512.png,78984.0,78984,250447270.29087734,24.90932422124003,0.8387768940010574,0.6074236239983293,2.2593696415518886e-12,393648
35,2048,2048.png,1259269.0,1259269,63227804417.69725,25.08008033752239,13.504167208000581,45.262327021999226,3.656244636589921e-11,6291273
